File Path,Source Service,Source Port,Destination Service,Destination Port,Line Number,Endpoint Pattern,HTTP Method,Purpose,Request Body/Params,Response Data Used,Error Handling,Function/Method Context
services/appointment-service/app/controllers/appointmentController.js,appointment-service,3003,patient-service,5001,31-32,/api/patients/${patient_id},GET,Verify patient exists before creating appointment,patient_id (URL param),patient object,Try-catch with 404 error,create()
services/appointment-service/app/controllers/appointmentController.js,appointment-service,3003,doctor-service,3002,46-47,/api/doctors/${doctor_id},GET,Verify doctor exists before creating appointment,doctor_id (URL param),doctor object,Try-catch with 404 error,create()
services/appointment-service/app/controllers/appointmentController.js,appointment-service,3003,billing-service,5002,71-72,/api/billing/calculate,POST,Calculate and create billing record for new appointment,"appointment_id, patient_id, doctor_id, service_type",billing record with amounts,Try-catch with error logging,create()
services/appointment-service/app/controllers/appointmentController.js,appointment-service,3003,patient-service,5001,108-109,/api/patients/${appointment.patient_id},GET,Enrich appointment with patient details,patient_id (URL param),patient details object,Try-catch with error logging,getById()
services/appointment-service/app/controllers/appointmentController.js,appointment-service,3003,doctor-service,3002,118-119,/api/doctors/${appointment.doctor_id},GET,Enrich appointment with doctor details,doctor_id (URL param),doctor details object,Try-catch with error logging,getById()
services/appointment-service/app/controllers/appointmentController.js,appointment-service,3003,billing-service,5002,129-130,/api/billing/${appointment.billing_id},GET,Fetch billing information for appointment,billing_id (URL param),billing details object,Try-catch with error logging,getById()
services/appointment-service/app/controllers/appointmentController.js,appointment-service,3003,patient-service,5001,168-169,/api/patients/${data.patient_id},GET,Verify new patient exists when updating appointment,patient_id (URL param),patient object,Try-catch with 404 error,update()
services/appointment-service/app/controllers/appointmentController.js,appointment-service,3003,doctor-service,3002,183-184,/api/doctors/${data.doctor_id},GET,Verify new doctor exists when updating appointment,doctor_id (URL param),doctor object,Try-catch with 404 error,update()
services/appointment-service/app/controllers/appointmentController.js,appointment-service,3003,doctor-service,3002,190-191,/api/doctors/${data.doctor_id}/availability,GET,Check doctor availability when updating appointment,doctor_id (URL param),availability object,Try-catch with 404 error,update()
services/appointment-service/app/controllers/appointmentController.js,appointment-service,3003,patient-service,5001,224-225,/api/patients/${appointment.patient_id}/notify,POST,Notify patient about appointment cancellation,"message, appointment_id",success message,Try-catch with error logging,cancel()
services/appointment-service/app/controllers/appointmentController.js,appointment-service,3003,billing-service,5002,238-239,/api/billing/${appointment.billing_id},PUT,Update billing status to cancelled,status: cancelled,updated billing record,Try-catch with error logging,cancel()
services/patient-service/app/controllers/patient_controller.py,patient-service,5001,appointment-service,3003,46-47,/api/appointments/patient/${patient_id},GET,Fetch all appointments for a patient,patient_id (URL param),appointments array,Try-except with error logging,get_by_id()
services/patient-service/app/controllers/patient_controller.py,patient-service,5001,billing-service,5002,58-59,/api/billing/patient/${patient_id},GET,Fetch billing history for a patient,patient_id (URL param),bills array,Try-except with error logging,get_by_id()
services/patient-service/app/controllers/patient_controller.py,patient-service,5001,appointment-service,3003,111-112,/api/appointments/patient/${patient_id},DELETE,Cancel all patient appointments when deleting patient,patient_id (URL param),status code,Try-except with error logging,delete()
services/patient-service/app/controllers/patient_controller.py,patient-service,5001,billing-service,5002,121-122,/api/billing/patient/${patient_id}/archive,PUT,Archive patient billing records when deleting patient,patient_id (URL param),status code,Try-except with error logging,delete()
services/billing-service/app/controllers/billing_controller.py,billing-service,5002,patient-service,5001,38-39,/api/patients/${data['patient_id']},GET,Verify patient exists before calculating bill,patient_id (from request body),patient object,Try-except with 404/503 error,calculate()
services/billing-service/app/controllers/billing_controller.py,billing-service,5002,doctor-service,3002,50-51,/api/doctors/${data['doctor_id']},GET,Verify doctor exists before calculating bill,doctor_id (from request body),doctor object,Try-except with 404/503 error,calculate()
services/billing-service/app/controllers/billing_controller.py,billing-service,5002,patient-service,5001,145-146,/api/patients/${bill['patient_id']}/notify,POST,Notify patient about payment confirmation,"message, bill_id, amount",status code,Try-except with error logging,mark_as_paid()
services/doctor-service/src/controllers/doctorController.ts,doctor-service,3002,appointment-service,3003,67-68,/api/appointments/doctor/${id},GET,Fetch all appointments for a doctor,doctor_id (URL param),appointments array,Try-catch with error logging,getById()
services/doctor-service/src/controllers/doctorController.ts,doctor-service,3002,appointment-service,3003,134-135,/api/appointments/doctor/${id},DELETE,Cancel all doctor appointments when deleting doctor,doctor_id (URL param),status code,Try-catch with error logging,delete()
